issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"I understand you've lost access to your Claude team workspace after your IT admin removed your seat. Unfortunately, only an Admin or Owner of the organization can restore your access. Please contact another Admin or Owner and ask them to navigate to **Organization settings > Organization** (for Claude) or **Settings > Members** (for Console) to change your role back or re-add you. If you are not an Admin or Owner, you cannot restore access yourself.",identity-management-sso-jit-scim,replied,product_issue,"Excerpt 1 describes the recovery steps for lost access, stating that another Admin/Owner must reinstate the role via Organization settings."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We understand your concern about the test score. However, HackerRank does not have the ability to modify scores or influence a recruiter's hiring decision. The scoring is based on the test cases defined by the recruiter, and the platform accurately reflects the results. We recommend reaching out directly to the recruiter to discuss your performance and any potential discrepancies.",programming-questions,replied,product_issue,The corpus explains that scoring is based on test cases (Excerpt 3) and that results are sent to the recruiter's ATS (Excerpt 2). There is no mention of HackerRank being able to change scores or intervene in hiring decisions.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"I understand your frustration. However, Visa does not directly handle refunds or ban merchants. As a cardholder, you can dispute the transaction with your card issuer (the bank that issued your Visa card). Please contact your issuer immediately to report the issue and initiate a chargeback. You can also report your concerns about the merchant by filling out this form: https://usa.visa.com/Forms/visa-rules.html.",visa,replied,product_issue,"Excerpt 1 states that Visa does not set up, service, or have access to cardholder or merchant accounts, and directs cardholders to contact their issuer. It also provides a form for reporting concerns about a merchant."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Thank you for contacting support. Your request requires review by a specialist due to its sensitive or urgent nature. Our team will follow up with you shortly.,mock-interviews,escalated,product_issue,"The corpus excerpts describe how to start and end mock interviews but do not cover refund policies or troubleshooting interruptions. Therefore, the response directs the user to contact support for refunds. [escalated by hallucination guard: the provided documentation does not include information about refunds for interrupted interviews; For assistance with refunds, please contact HackerRank support directly through the help center]"
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"I'm sorry to hear about the payment issue. According to our FAQ, if any amount was deducted incorrectly due to a failed payment, it will be refunded within 5–10 business days. Please refresh the page and retry the payment. If you need further assistance with your specific order ID, please contact our support team directly.",subscriptions-payments-and-billing,replied,product_issue,"Excerpt 3 from the Payments and Billing FAQs states that if a payment fails and an amount was deducted incorrectly, it will be refunded within 5–10 business days."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Thank you for contacting support. Your request requires review by a specialist due to its sensitive or urgent nature. Our team will follow up with you shortly.,uncategorized,escalated,product_issue,"The corpus excerpts cover onboarding candidates, test creation, and best practices but do not contain any information about infosec processes or form-filling for security compliance. [escalated by hallucination guard: the provided documentation does not include specific information about security compliance forms or infosec procedures; I recommend reaching out to HackerRank's support team directly or contacting your account representative for assistance with security questionnaires and compliance documentation]"
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"The Home and Apply tabs are being deprecated on HackerRank. All coding challenges, including practice submissions, are now available under the Prepare tab. Please navigate to the Prepare tab to access and submit your coding challenges.",additional-resources,replied,product_issue,Excerpt 1 explains that the Home and Apply tabs are deprecated and that coding challenges are available under the Prepare tab.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"I'm sorry to hear you're having trouble with submissions. Please try the following steps: 1) Close the challenge window and reopen it using the same link. 2) Try a supported browser like the latest Chrome, Firefox, or Edge. 3) Ensure your internet connection is stable. If the issue persists, contact HackerRank support at help@hackerrank.com.",practice-coding-challenges,replied,bug,"Excerpt 1 provides troubleshooting steps for challenges that do not load or show an infinite processing message, which matches the described issue."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Thank you for contacting support. Your request requires review by a specialist due to its sensitive or urgent nature. Our team will follow up with you shortly.,release-notes,escalated,product_issue,"Excerpt 2 describes proactive compatibility checks that detect issues like browser support and provide real-time notifications, which directly addresses the candidate's compatibility check blocker related to Zoom connectivity. [escalated by hallucination guard: For Zoom connectivity issues, please ensure you are using a supported browser (latest Chrome, Firefox, or Edge) and check your internet connection.; If the problem persists, try closing and reopening the test window or contact support for further assistance.]"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Thank you for contacting support. Your request requires review by a specialist due to its sensitive or urgent nature. Our team will follow up with you shortly.,manage-interviews,escalated,product_issue,"The corpus excerpt on rescheduling interviews (Excerpt 1) explains that interview rescheduling is done by the interviewer/recruiter, not by candidates. The onboarding candidate excerpt (Excerpt 2) directs candidates to contact the company for accommodations or support. [escalated by hallucination guard: To reschedule your HackerRank assessment, please contact the recruiter or hiring manager at the company that invited you, as only they can modify the test schedule.]"
